web-scraper-order,web-scraper-start-url,product_name,price,product_sold
"1705545905-1","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Pleated Loose Pants Khaki","74.970","196 Terjual"
"1705545905-2","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive V-Neck Peplum Blouse Off White","161.910","116 Terjual"
"1705545905-3","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Straight Leg Striped Long Pants Grey","149.950","17 Terjual"
"1705545905-4","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Basic Round Neck Cotton T-Shirt Powder Blue","99.900","129 Terjual"
"1705545905-5","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Oversized Short Sleeve Graphic Tee Off White","129.900","6 Terjual"
"1705545905-6","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Basic V-Neck Cotton T-Shirt Black","99.900","465 Terjual"
"1705545905-7","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Regular Fit High Waist Pants Black","251.910","37 Terjual"
"1705545905-8","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Square Neck Puff Sleeves Top Off White","206.910","91 Terjual"
"1705545905-9","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Front Pocket Peplum Jacket Olive","139.950","45 Terjual"
"1705545905-10","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Printed Square Neck Blouse Ecru","206.910","22 Terjual"
"1705545905-11","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Non Lapel Basic Fitted Blazer Khaki","299.900","13 Terjual"
"1705545905-12","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Regular Fit Double Pocket Blazer Black","386.910","23 Terjual"
"1705545905-13","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Wide Leg Checked Trousers Grey","329.900",""
"1705545905-14","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive V-Neck Puff Sleeves Crop Blouse Ecru","206.910","70 Terjual"
"1705545905-15","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Button Up Short Sleeve Top Off White","134.910","43 Terjual"
"1705545905-16","https://shopee.co.id/theexecutiveid?page=0&shopCollection=49725781","Executive Button Up Short Sleeve Top Off White","134.910","43 Terjual"
